Site,pH,Turbid_NTU,Chl_ugL,BGA_PC,Al10SABI,Go04MCI,Ku15PhyCI,MM12NDCI,Wy08CI,Da052BDA,Ku15SLH,MM12NDCIalt,TurbDox02NIRoverRed,TurbMoore80Red
H01,8.7,1.63,4.85,12023.48,-0.212578616,51,8,0.012084592,8,1.024464832,16,0.012084592,0.483180428,327
H02,8.72,1.67,4.85,11047.85,-0.150918635,0,34,0.054662379,34,1.115646259,68,0.054662379,0.608843537,294
H03,8.8,1.24,4.34,10919.88,-0.091666667,-20,66,0.094555874,66,1.208860759,132,0.094555874,0.756329114,316
H04,8.81,1.47,4.83,11619.5,-0.220833333,63,10,0.017985612,10,1.036630037,20,0.017985612,0.417582418,273
H05,8.77,1.3,5.13,12427.56,-0.188092016,1,10,0.019083969,10,1.038910506,20,0.019083969,0.459143969,257
H06,8.81,1.31,5.18,11718.81,-0.213213213,23,22,0.043137255,22,1.090163934,44,0.043137255,0.418032787,244
H07,8.77,1.32,5.56,11215.42,-0.227513228,7,26,0.04887218,26,1.102766798,52,0.04887218,0.320158103,253
H08,8.81,1.42,4.79,11119.73,-0.2175,54,11,0.018242123,11,1.037162162,22,0.018242123,0.412162162,296
H09,8.78,1.54,7.47,11218.25,-0.187079408,53,20,0.032894737,20,1.068027211,40,0.032894737,0.527210884,294
H10B,8.11,11.1,10.33,20283.89,-0.339847991,200,76,0.07966457,76,1.173120729,152,0.07966457,0.287015945,439
H11,8.76,1.77,4.47,10653.65,-0.214012739,20,12,0.020408163,12,1.041666667,24,0.020408163,0.416666667,288
H12,8.79,1.5,6.24,11968.07,-0.244005642,47,30,0.052083333,30,1.10989011,60,0.052083333,0.366300366,273
H13,8.78,1.47,6.52,11782.36,-0.234285714,57,36,0.060810811,36,1.129496403,72,0.060810811,0.410071942,278
H14,8.77,1.95,6.9,10954.47,-0.269513991,57,26,0.048689139,26,1.102362205,52,0.048689139,0.279527559,254
